free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
98.0,128.0,2048.0,2018.0,1629409339713
98.0,128.0,2048.0,2018.0,1629409339713
98.0,128.0,2048.0,2018.0,1629409339713
98.0,128.0,2048.0,2018.0,1629409339713
98.0,128.0,2048.0,2018.0,1629409339713
98.0,128.0,2048.0,2018.0,1629409339714
98.0,128.0,2048.0,2018.0,1629409339714
98.0,128.0,2048.0,2018.0,1629409339715
98.0,128.0,2048.0,2018.0,1629409339715
98.0,128.0,2048.0,2018.0,1629409339715
98.0,128.0,2048.0,2018.0,1629409339715
98.0,128.0,2048.0,2018.0,1629409339716
98.0,128.0,2048.0,2018.0,1629409339716
98.0,128.0,2048.0,2018.0,1629409339716
98.0,128.0,2048.0,2018.0,1629409339716
98.0,128.0,2048.0,2018.0,1629409339716
98.0,128.0,2048.0,2018.0,1629409339716
98.0,128.0,2048.0,2018.0,1629409339716
98.0,128.0,2048.0,2018.0,1629409339717
98.0,128.0,2048.0,2018.0,1629409339717
98.0,128.0,2048.0,2018.0,1629409339717
98.0,128.0,2048.0,2018.0,1629409339717
98.0,128.0,2048.0,2018.0,1629409339717
98.0,128.0,2048.0,2018.0,1629409339717
98.0,128.0,2048.0,2018.0,1629409339717
98.0,128.0,2048.0,2018.0,1629409339718
98.0,128.0,2048.0,2018.0,1629409339718
98.0,128.0,2048.0,2018.0,1629409339718
98.0,128.0,2048.0,2018.0,1629409339718
97.0,128.0,2048.0,2017.0,1629409339718
97.0,128.0,2048.0,2017.0,1629409339718
97.0,128.0,2048.0,2017.0,1629409339718
97.0,128.0,2048.0,2017.0,1629409339719
97.0,128.0,2048.0,2017.0,1629409339719
97.0,128.0,2048.0,2017.0,1629409339719
97.0,128.0,2048.0,2017.0,1629409339719
97.0,128.0,2048.0,2017.0,1629409339719
97.0,128.0,2048.0,2017.0,1629409339719
97.0,128.0,2048.0,2017.0,1629409339719
97.0,128.0,2048.0,2017.0,1629409339720
97.0,128.0,2048.0,2017.0,1629409339720
97.0,128.0,2048.0,2017.0,1629409339720
97.0,128.0,2048.0,2017.0,1629409339720
97.0,128.0,2048.0,2017.0,1629409339721
97.0,128.0,2048.0,2017.0,1629409339721
97.0,128.0,2048.0,2017.0,1629409339721
97.0,128.0,2048.0,2017.0,1629409339721
97.0,128.0,2048.0,2017.0,1629409339721
97.0,128.0,2048.0,2017.0,1629409339721
97.0,128.0,2048.0,2017.0,1629409339721
97.0,128.0,2048.0,2017.0,1629409339722
97.0,128.0,2048.0,2017.0,1629409339722
97.0,128.0,2048.0,2017.0,1629409339722
97.0,128.0,2048.0,2017.0,1629409339722
97.0,128.0,2048.0,2017.0,1629409339722
97.0,128.0,2048.0,2017.0,1629409339722
97.0,128.0,2048.0,2017.0,1629409339722
97.0,128.0,2048.0,2017.0,1629409339723
97.0,128.0,2048.0,2017.0,1629409339723
97.0,128.0,2048.0,2017.0,1629409339723
97.0,128.0,2048.0,2017.0,1629409339723
97.0,128.0,2048.0,2017.0,1629409339723
97.0,128.0,2048.0,2017.0,1629409339723
97.0,128.0,2048.0,2017.0,1629409339723
97.0,128.0,2048.0,2017.0,1629409339724
97.0,128.0,2048.0,2017.0,1629409339724
97.0,128.0,2048.0,2017.0,1629409339724
97.0,128.0,2048.0,2017.0,1629409339724
96.0,128.0,2048.0,2016.0,1629409339724
96.0,128.0,2048.0,2016.0,1629409339724
96.0,128.0,2048.0,2016.0,1629409339724
96.0,128.0,2048.0,2016.0,1629409339725
96.0,128.0,2048.0,2016.0,1629409339725
96.0,128.0,2048.0,2016.0,1629409339725
96.0,128.0,2048.0,2016.0,1629409339725
96.0,128.0,2048.0,2016.0,1629409339726
96.0,128.0,2048.0,2016.0,1629409339726
96.0,128.0,2048.0,2016.0,1629409339726
96.0,128.0,2048.0,2016.0,1629409339726
96.0,128.0,2048.0,2016.0,1629409339726
96.0,128.0,2048.0,2016.0,1629409339726
96.0,128.0,2048.0,2016.0,1629409339727
96.0,128.0,2048.0,2016.0,1629409339727
96.0,128.0,2048.0,2016.0,1629409339727
96.0,128.0,2048.0,2016.0,1629409339728
96.0,128.0,2048.0,2016.0,1629409339728
96.0,128.0,2048.0,2016.0,1629409339728
96.0,128.0,2048.0,2016.0,1629409339729
96.0,128.0,2048.0,2016.0,1629409339729
96.0,128.0,2048.0,2016.0,1629409339729
96.0,128.0,2048.0,2016.0,1629409339729
96.0,128.0,2048.0,2016.0,1629409339729
96.0,128.0,2048.0,2016.0,1629409339730
96.0,128.0,2048.0,2016.0,1629409339730
96.0,128.0,2048.0,2016.0,1629409339730
96.0,128.0,2048.0,2016.0,1629409339730
96.0,128.0,2048.0,2016.0,1629409339730
96.0,128.0,2048.0,2016.0,1629409339730
