free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
48.0,128.0,2048.0,1968.0,1629409336411
48.0,128.0,2048.0,1968.0,1629409336489
48.0,128.0,2048.0,1968.0,1629409336524
48.0,128.0,2048.0,1968.0,1629409336524
48.0,128.0,2048.0,1968.0,1629409336525
48.0,128.0,2048.0,1968.0,1629409336526
48.0,128.0,2048.0,1968.0,1629409336527
48.0,128.0,2048.0,1968.0,1629409336527
48.0,128.0,2048.0,1968.0,1629409336527
48.0,128.0,2048.0,1968.0,1629409336532
48.0,128.0,2048.0,1968.0,1629409336533
48.0,128.0,2048.0,1968.0,1629409336533
48.0,128.0,2048.0,1968.0,1629409336533
48.0,128.0,2048.0,1968.0,1629409336533
48.0,128.0,2048.0,1968.0,1629409336535
48.0,128.0,2048.0,1968.0,1629409336536
48.0,128.0,2048.0,1968.0,1629409336536
48.0,128.0,2048.0,1968.0,1629409336536
48.0,128.0,2048.0,1968.0,1629409336537
48.0,128.0,2048.0,1968.0,1629409336537
48.0,128.0,2048.0,1968.0,1629409336537
48.0,128.0,2048.0,1968.0,1629409336537
48.0,128.0,2048.0,1968.0,1629409336538
48.0,128.0,2048.0,1968.0,1629409336538
48.0,128.0,2048.0,1968.0,1629409336538
48.0,128.0,2048.0,1968.0,1629409336538
48.0,128.0,2048.0,1968.0,1629409336540
48.0,128.0,2048.0,1968.0,1629409336540
48.0,128.0,2048.0,1968.0,1629409336541
48.0,128.0,2048.0,1968.0,1629409336542
48.0,128.0,2048.0,1968.0,1629409336542
48.0,128.0,2048.0,1968.0,1629409336542
48.0,128.0,2048.0,1968.0,1629409336543
48.0,128.0,2048.0,1968.0,1629409336543
47.0,128.0,2048.0,1967.0,1629409336543
47.0,128.0,2048.0,1967.0,1629409336544
47.0,128.0,2048.0,1967.0,1629409336544
47.0,128.0,2048.0,1967.0,1629409336545
47.0,128.0,2048.0,1967.0,1629409336547
47.0,128.0,2048.0,1967.0,1629409336548
47.0,128.0,2048.0,1967.0,1629409336548
47.0,128.0,2048.0,1967.0,1629409336548
47.0,128.0,2048.0,1967.0,1629409336548
47.0,128.0,2048.0,1967.0,1629409336549
47.0,128.0,2048.0,1967.0,1629409336549
47.0,128.0,2048.0,1967.0,1629409336549
47.0,128.0,2048.0,1967.0,1629409336549
47.0,128.0,2048.0,1967.0,1629409336549
47.0,128.0,2048.0,1967.0,1629409336549
47.0,128.0,2048.0,1967.0,1629409336550
47.0,128.0,2048.0,1967.0,1629409336550
47.0,128.0,2048.0,1967.0,1629409336550
47.0,128.0,2048.0,1967.0,1629409336551
47.0,128.0,2048.0,1967.0,1629409336552
47.0,128.0,2048.0,1967.0,1629409336552
47.0,128.0,2048.0,1967.0,1629409336552
47.0,128.0,2048.0,1967.0,1629409336552
47.0,128.0,2048.0,1967.0,1629409336552
47.0,128.0,2048.0,1967.0,1629409336552
47.0,128.0,2048.0,1967.0,1629409336553
47.0,128.0,2048.0,1967.0,1629409336553
47.0,128.0,2048.0,1967.0,1629409336553
47.0,128.0,2048.0,1967.0,1629409336554
47.0,128.0,2048.0,1967.0,1629409336554
47.0,128.0,2048.0,1967.0,1629409336556
47.0,128.0,2048.0,1967.0,1629409336556
47.0,128.0,2048.0,1967.0,1629409336557
47.0,128.0,2048.0,1967.0,1629409336557
47.0,128.0,2048.0,1967.0,1629409336557
47.0,128.0,2048.0,1967.0,1629409336557
47.0,128.0,2048.0,1967.0,1629409336558
47.0,128.0,2048.0,1967.0,1629409336558
47.0,128.0,2048.0,1967.0,1629409336558
46.0,128.0,2048.0,1966.0,1629409336559
46.0,128.0,2048.0,1966.0,1629409336559
46.0,128.0,2048.0,1966.0,1629409336559
46.0,128.0,2048.0,1966.0,1629409336559
46.0,128.0,2048.0,1966.0,1629409336560
46.0,128.0,2048.0,1966.0,1629409336561
46.0,128.0,2048.0,1966.0,1629409336562
46.0,128.0,2048.0,1966.0,1629409336563
46.0,128.0,2048.0,1966.0,1629409336564
46.0,128.0,2048.0,1966.0,1629409336564
46.0,128.0,2048.0,1966.0,1629409336564
46.0,128.0,2048.0,1966.0,1629409336565
46.0,128.0,2048.0,1966.0,1629409336565
46.0,128.0,2048.0,1966.0,1629409336565
46.0,128.0,2048.0,1966.0,1629409336565
46.0,128.0,2048.0,1966.0,1629409336566
46.0,128.0,2048.0,1966.0,1629409336566
46.0,128.0,2048.0,1966.0,1629409336567
46.0,128.0,2048.0,1966.0,1629409336567
46.0,128.0,2048.0,1966.0,1629409336567
46.0,128.0,2048.0,1966.0,1629409336567
46.0,128.0,2048.0,1966.0,1629409336568
46.0,128.0,2048.0,1966.0,1629409336568
