allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629821670726
62.0,938.0,1629821670727
62.0,938.0,1629821670729
62.0,938.0,1629821670729
62.0,938.0,1629821670730
62.0,938.0,1629821670730
62.0,937.0,1629821670731
62.0,937.0,1629821670731
62.0,937.0,1629821670732
62.0,937.0,1629821670732
62.0,937.0,1629821670733
62.0,937.0,1629821670733
62.0,937.0,1629821670734
62.0,937.0,1629821670735
62.0,937.0,1629821670735
62.0,937.0,1629821670736
62.0,937.0,1629821670736
62.0,937.0,1629821670737
62.0,937.0,1629821670737
62.0,937.0,1629821670738
62.0,937.0,1629821670738
62.0,937.0,1629821670738
62.0,937.0,1629821670739
62.0,937.0,1629821670739
62.0,937.0,1629821670740
62.0,937.0,1629821670740
62.0,937.0,1629821670740
62.0,937.0,1629821670741
62.0,937.0,1629821670741
62.0,937.0,1629821670742
62.0,937.0,1629821670742
62.0,937.0,1629821670743
62.0,937.0,1629821670743
62.0,937.0,1629821670744
62.0,937.0,1629821670744
62.0,937.0,1629821670745
62.0,936.0,1629821670748
62.0,936.0,1629821670750
62.0,936.0,1629821670750
62.0,936.0,1629821670751
62.0,936.0,1629821670751
62.0,936.0,1629821670751
62.0,936.0,1629821670752
62.0,936.0,1629821670752
62.0,936.0,1629821670753
62.0,936.0,1629821670753
62.0,936.0,1629821670755
62.0,936.0,1629821670755
62.0,936.0,1629821670755
62.0,936.0,1629821670756
62.0,936.0,1629821670756
62.0,936.0,1629821670756
62.0,936.0,1629821670757
62.0,936.0,1629821670757
62.0,936.0,1629821670757
62.0,936.0,1629821670758
62.0,936.0,1629821670758
62.0,936.0,1629821670759
62.0,936.0,1629821670759
62.0,936.0,1629821670760
62.0,936.0,1629821670760
62.0,936.0,1629821670761
62.0,936.0,1629821670761
62.0,936.0,1629821670762
62.0,936.0,1629821670762
62.0,936.0,1629821670762
62.0,936.0,1629821670763
62.0,936.0,1629821670763
62.0,936.0,1629821670764
62.0,936.0,1629821670764
62.0,936.0,1629821670764
62.0,936.0,1629821670765
62.0,936.0,1629821670765
62.0,936.0,1629821670765
62.0,935.0,1629821670766
62.0,935.0,1629821670766
62.0,935.0,1629821670766
62.0,935.0,1629821670766
62.0,935.0,1629821670767
62.0,935.0,1629821670767
62.0,935.0,1629821670767
62.0,935.0,1629821670768
62.0,935.0,1629821670768
62.0,935.0,1629821670769
62.0,935.0,1629821670769
62.0,935.0,1629821670770
62.0,935.0,1629821670770
62.0,935.0,1629821670770
62.0,935.0,1629821670771
62.0,935.0,1629821670772
62.0,935.0,1629821670772
62.0,935.0,1629821670773
62.0,935.0,1629821670773
62.0,935.0,1629821670773
62.0,935.0,1629821670774
62.0,935.0,1629821670774
